username,user_id,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
futureshift,112243365,2018-02-08 08:14,1,3,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// trib.al/fWfRb2G pic.twitter.com/mSCzKUlvwQ,,,,961604055008251909,https://twitter.com/futureshift/status/961604055008251909
HrishiTomar,211063953,2018-02-08 08:41,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXqld pic.twitter.com/9d4bAT4MDq,,,,961610857883975681,https://twitter.com/HrishiTomar/status/961610857883975681
Witchypoo62au,92443441,2018-02-13 19:22,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People https:// fb.me/1x9cgWs2N,,,,963584182130741248,https://twitter.com/Witchypoo62au/status/963584182130741248
SellersTed,39236268,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXYjB #Facebook #Hoax #Rumors #News_ Feed pic.twitter.com/BgCHZfifsw,,,#Facebook #Hoax #Rumors #News_,961600188442804225,https://twitter.com/SellersTed/status/961600188442804225
Sortiwa,3238757417,2018-02-07 12:08,0,0,"Facebook isn’t restricting your News Feed to 26 friends, no matter what a viral hoax claims https:// goo.gl/i6HEHd pic.twitter.com/FWsohlhrGP",,,,961300728735203333,https://twitter.com/Sortiwa/status/961300728735203333
mediaadvantages,18138164,2018-02-08 08:06,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// ift.tt/2sgQ38P pic.twitter.com/5gjwIvLe14,,,,961602095043563520,https://twitter.com/mediaadvantages/status/961602095043563520
isdsocial,269334836,2018-02-08 08:46,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFXsXL,,,,961612113037807616,https://twitter.com/isdsocial/status/961612113037807616
mattjlasher,3261485947,2018-02-08 00:01,0,0,via @inc #business Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/vuLE50gpLNh,,@inc,#business,961479974367711232,https://twitter.com/mattjlasher/status/961479974367711232
Reach1SocMedia,2419955899,2018-02-08 08:00,0,0,@Mashable : That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed - The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25) friends could see your posts. In copy-paste messa... http:// ow.ly/AofU50gq1ri,,@Mashable,,961600617566429185,https://twitter.com/Reach1SocMedia/status/961600617566429185
magiciansbook,15985960,2018-02-19 10:05,1,2,Of course Facebook isn’t planning to limit your news feed to 26 friends! https:// slate.com/human-interest /2018/02/algorumors-the-viral-facebook-hoaxes-about-changes-to-facebook-policy.html?wpsrc=sh_all_dt_tw_ru … via @slate,,@slate,,965618385387245573,https://twitter.com/magiciansbook/status/965618385387245573
thenewschef,2939779248,2018-02-09 07:54,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People - https:// thenewschef.com/2018/02/hoax-f acebook-not-limiting-news-feed-26-people/ …,,,,961961531452764163,https://twitter.com/thenewschef/status/961961531452764163
KevinJDonaldson,188092633,2018-02-08 08:45,0,0,#Mashable That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed - The latest hoax that the Facebook world soundly fell for was the idea that only 26 (or 25 ) friends could see your posts. In copy-paste message... http:// ht.ly/dcAQ50gq3lH,,,#Mashable,961612014320746497,https://twitter.com/KevinJDonaldson/status/961612014320746497
TimesUnionMedia,2447798023,2018-02-07 12:13,0,0,"Facebook isn't restricting your news feed to 26 friends, no matter what a viral hoax claims http:// jacksonville.com/zz/shareable/2 0180207/facebook-isnt-restricting-your-news-feed-to-26-friends-no-matter-what-viral-hoax-claims …",,,,961301952603803648,https://twitter.com/TimesUnionMedia/status/961301952603803648
leslymedina_,924636218,2018-02-08 07:58,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed,,,,961600034490871808,https://twitter.com/leslymedina_/status/961600034490871808
FENY2000,44461370,2018-02-10 16:53,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on - USA TODAY https:// apple.news/AHPH8XeN_Ryqt8 2OyEwdNkA …",,,,962459571028725761,https://twitter.com/FENY2000/status/962459571028725761
AfterDarkGrafx,94490546,2018-02-07 04:51,1,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on http://www. abc10.com/article/news/n ation-now/facebook-limiting-status-updates-in-news-feed-to-25-friends-thats-a-hoax-pass-it-on/465-f947997d-319c-43e0-94d8-602029b69536?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5a7acaa73ed3f00007419661&utm_medium=trueAnthem&utm_source=facebook …",,,,961190575679553537,https://twitter.com/AfterDarkGrafx/status/961190575679553537
ebstt,3167941782,2018-02-08 00:16,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/DPYg50gpMdE,,,,961483748477947904,https://twitter.com/ebstt/status/961483748477947904
chweeks,234763768,2018-02-08 10:31,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFYbBL pic.twitter.com/dEEiKEOf7Z,,,,961638658863374336,https://twitter.com/chweeks/status/961638658863374336
foggybottomgal,1593224094,2018-02-07 05:11,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @USATODAY",,@USATODAY,,961195583892606977,https://twitter.com/foggybottomgal/status/961195583892606977
Justine___C,2344193034,2018-02-08 07:59,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// on.mash.to/2BLtcpZ,,,,961600296492371968,https://twitter.com/Justine___C/status/961600296492371968
Panu_e,918569125,2018-02-08 07:58,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed,,,,961600025989070854,https://twitter.com/Panu_e/status/961600025989070854
BabsJDancer,43338835,2018-02-07 15:47,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on https:// usat.ly/2nQ2MKe via @usatoday",,@usatoday,,961355844091719680,https://twitter.com/BabsJDancer/status/961355844091719680
AcworthGAHomes,2727344102,2018-02-08 13:30,0,0,"HOAX .. Facebook limiting status updates in news feed to 25 friends? That's a hoax , pass it on http:// ow.ly/4WXb30igVt0 https:// fb.me/v5fvooJf",,,,961683641423278080,https://twitter.com/AcworthGAHomes/status/961683641423278080
SpeakersGuild,4855405122,2018-02-08 10:35,0,0,That ' 26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed via @mashable http:// ow.ly/84u430ihpbg #socialmedia #marketing,,@mashable,#socialmedia #marketing,961639526992105475,https://twitter.com/SpeakersGuild/status/961639526992105475
bigbangtraffic,941689774175326209,2018-02-11 18:02,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed https:// fb.me/1E1BF7hkw,,,,962839198809182213,https://twitter.com/bigbangtraffic/status/962839198809182213
ZucksArmy,815247619178033153,2018-02-08 18:15,0,0,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People http:// ift.tt/2BkBaW7,,,,961755498172309504,https://twitter.com/ZucksArmy/status/961755498172309504
blueeyedmonkey,2400171,2018-02-07 11:09,0,0,"Facebook limiting status updates in news feed to 25 friends? That's a hoax, pass it on https:// fb.me/1e1yxgIka",,,,961285805686841344,https://twitter.com/blueeyedmonkey/status/961285805686841344
james5007_nt,796471157159399424,2018-02-08 09:27,0,0,That '26 friends' Facebook rumor was a hoax — but here's how you can actually game the News Feed http:// dlvr.it/QFY7fr pic.twitter.com/SRPCWiFXoe,,,,961622447714807808,https://twitter.com/james5007_nt/status/961622447714807808
ca_directory,865034546672095232,2018-02-08 03:15,0,0,Facebook Hoax Claims Your News Feed Is Now Only 26 Friends and Saying 'Hi' Will Fix It - Hoaxters even say they confirmed it on Snopes. None of this is true. http:// ow.ly/TR8m50gpQQS,,,,961528974039019520,https://twitter.com/ca_directory/status/961528974039019520
